最後結算日,契約月份,商品代號,商品名稱,最後結算價
2017/12/27,201712W4,TXO,臺指選擇權,10479
2017/12/20,201712  ,TXO,臺指選擇權,10497
2017/12/20,201712  ,TEO,電子選擇權,437
2017/12/20,201712  ,TFO,金融選擇權,1186.8
2017/12/20,201712  ,XIO,非金電選擇權,12134
2017/12/20,201712  ,GTO,櫃買選擇權,146.75
2017/12/13,201712W2,TXO,臺指選擇權,10462
2017/12/06,201712W1,TXO,臺指選擇權,10393
2017/11/29,201711W5,TXO,臺指選擇權,10709
2017/11/22,201711W4,TXO,臺指選擇權,10817
2017/11/15,201711  ,TXO,臺指選擇權,10638
2017/11/15,201711  ,TEO,電子選擇權,456.25
2017/11/15,201711  ,TFO,金融選擇權,1141
2017/11/15,201711  ,XIO,非金電選擇權,11911
2017/11/15,201711  ,GTO,櫃買選擇權,146.5
2017/11/08,201711W2,TXO,臺指選擇權,10816
2017/11/01,201711W1,TXO,臺指選擇權,10800
2017/10/25,201710W4,TXO,臺指選擇權,10749
2017/10/18,201710  ,TXO,臺指選擇權,10728
2017/10/18,201710  ,TEO,電子選擇權,462.5
2017/10/18,201710  ,TFO,金融選擇權,1137.4
2017/10/18,201710  ,XIO,非金電選擇權,11953
2017/10/18,201710  ,GTO,櫃買選擇權,143.1
2017/10/11,201710W2,TXO,臺指選擇權,10641
2017/10/05,201710W1,TXO,臺指選擇權,10522
2017/09/27,201709W4,TXO,臺指選擇權,10335
2017/09/20,201709  ,TXO,臺指選擇權,10510
2017/09/20,201709  ,TEO,電子選擇權,446.95
2017/09/20,201709  ,TFO,金融選擇權,1126.4
2017/09/20,201709  ,XIO,非金電選擇權,11955
2017/09/20,201709  ,GTO,櫃買選擇權,141.9
2017/09/13,201709W2,TXO,臺指選擇權,10543
2017/09/06,201709W1,TXO,臺指選擇權,10550
2017/08/30,201708W5,TXO,臺指選擇權,10557
2017/08/23,201708W4,TXO,臺指選擇權,10393
2017/08/16,201708  ,TXO,臺指選擇權,10254
2017/08/16,201708  ,TEO,電子選擇權,434.9
2017/08/16,201708  ,TFO,金融選擇權,1115
2017/08/16,201708  ,XIO,非金電選擇權,11653
2017/08/16,201708  ,GTO,櫃買選擇權,133.5
2017/08/09,201708W2,TXO,臺指選擇權,10468
2017/08/02,201708W1,TXO,臺指選擇權,10500
2017/07/26,201707W4,TXO,臺指選擇權,10422
2017/07/19,201707  ,TXO,臺指選擇權,10500
2017/07/19,201707  ,TEO,電子選擇權,444.75
2017/07/19,201707  ,TFO,金融選擇權,1147.2
2017/07/19,201707  ,XIO,非金電選擇權,11937
2017/07/19,201707  ,GTO,櫃買選擇權,137.85
2017/07/12,201707W2,TXO,臺指選擇權,10427
2017/07/05,201707W1,TXO,臺指選擇權,10390
2017/06/28,201706W4,TXO,臺指選擇權,10401
2017/06/21,201706  ,TXO,臺指選擇權,10369
2017/06/21,201706  ,TEO,電子選擇權,439.7
2017/06/21,201706  ,TFO,金融選擇權,1118.2
2017/06/21,201706  ,XIO,非金電選擇權,11826
2017/06/21,201706  ,GTO,櫃買選擇權,135.6
2017/06/14,201706W2,TXO,臺指選擇權,10049
2017/06/07,201706W1,TXO,臺指選擇權,10203
2017/05/31,201705W5,TXO,臺指選擇權,10038
2017/05/24,201705W4,TXO,臺指選擇權,10046
2017/05/17,201705  ,TXO,臺指選擇權,10000
2017/05/17,201705  ,TEO,電子選擇權,417
2017/05/17,201705  ,TFO,金融選擇權,1123.2
2017/05/17,201705  ,XIO,非金電選擇權,11559
2017/05/17,201705  ,GTO,櫃買選擇權,132.4
2017/05/10,201705W2,TXO,臺指選擇權,9953
2017/05/03,201705W1,TXO,臺指選擇權,9945
2017/04/26,201704W4,TXO,臺指選擇權,9851
2017/04/19,201704  ,TXO,臺指選擇權,9639
2017/04/19,201704  ,TEO,電子選擇權,395.55
2017/04/19,201704  ,TFO,金融選擇權,1070.4
2017/04/19,201704  ,XIO,非金電選擇權,11504
2017/04/19,201704  ,GTO,櫃買選擇權,131.3
2017/04/12,201704W2,TXO,臺指選擇權,9808
2017/04/05,201704W1,TXO,臺指選擇權,9911
2017/03/29,201703W5,TXO,臺指選擇權,9845
2017/03/22,201703W4,TXO,臺指選擇權,9905
2017/03/15,201703  ,TXO,臺指選擇權,9733
2017/03/15,201703  ,TEO,電子選擇權,393.75
2017/03/15,201703  ,TFO,金融選擇權,1122.4
2017/03/15,201703  ,XIO,非金電選擇權,11711
2017/03/15,201703  ,GTO,櫃買選擇權,135.6
2017/03/08,201703W2,TXO,臺指選擇權,9761
2017/03/01,201703W1,TXO,臺指選擇權,9690
2017/02/22,201702W4,TXO,臺指選擇權,9778
2017/02/15,201702  ,TXO,臺指選擇權,9799
2017/02/15,201702  ,TEO,電子選擇權,394.25
2017/02/15,201702  ,TFO,金融選擇權,1110.2
2017/02/15,201702  ,XIO,非金電選擇權,11979
2017/02/15,201702  ,GTO,櫃買選擇權,131.8
2017/02/08,201702W2,TXO,臺指選擇權,9550
2017/02/02,201701W4,TXO,臺指選擇權,9440
2017/01/18,201701  ,TXO,臺指選擇權,9340
2017/01/18,201701  ,TEO,電子選擇權,375.85
2017/01/18,201701  ,TFO,金融選擇權,1073
2017/01/18,201701  ,XIO,非金電選擇權,11354
2017/01/18,201701  ,GTO,櫃買選擇權,125.25
2017/01/11,201701W2,TXO,臺指選擇權,9343
2017/01/04,201701W1,TXO,臺指選擇權,9285
