Final_settlement_date,contract_delivery_month,code,Final_settlement_price
2014-12-17,201412,TXO,8843
2014-09-17,201409,TXO,9172
2014-06-18,201406,TXO,9302
2014-03-19,201403,TXO,8696
2015-12-16,201512,TXO,8198
2015-09-16,201509,TXO,8318
2015-06-17,201506,TXO,9181
2015-03-18,201503,TXO,9633
2016-12-21,201612,TXO,9232
2016-09-21,201609,TXO,9221
2016-06-15,201606,TXO,8602
2016-03-16,201603,TXO,8691
2017-12-20,201712,TXO,10497
2017-09-20,201709,TXO,10510
2017-06-21,201706,TXO,10369
2017-03-15,201703,TXO,9733
2018-12-19,201812,TXO,9768
2018-09-19,201809,TXO,10872
2018-06-20,201806,TXO,10936
2018-03-21,201803,TXO,11045
