最後結算日,契約月份,商品代號,商品名稱,最後結算價
2015/12/30,201512W5,TXO,臺指選擇權,8281
2015/12/23,201512W4,TXO,臺指選擇權,8316
2015/12/16,201512  ,TXO,臺指選擇權,8198
2015/12/16,201512  ,TEO,電子選擇權,324.95
2015/12/16,201512  ,TFO,金融選擇權,973.8
2015/12/16,201512  ,XIO,非金電選擇權,10068
2015/12/16,201512  ,GTO,櫃買選擇權,128.65
2015/12/09,201512W2,TXO,臺指選擇權,8252
2015/12/02,201512W1,TXO,臺指選擇權,8463
2015/11/25,201511W4,TXO,臺指選擇權,8372
2015/11/18,201511  ,TXO,臺指選擇權,8335
2015/11/18,201511  ,TEO,電子選擇權,325.15
2015/11/18,201511  ,TFO,金融選擇權,1031.6
2015/11/18,201511  ,XIO,非金電選擇權,10317
2015/11/18,201511  ,GTO,櫃買選擇權,126.05
2015/11/11,201511W2,TXO,臺指選擇權,8428
2015/11/04,201511W1,TXO,臺指選擇權,8851
2015/10/28,201510W4,TXO,臺指選擇權,8647
2015/10/21,201510  ,TXO,臺指選擇權,8617
2015/10/21,201510  ,TEO,電子選擇權,330.85
2015/10/21,201510  ,TFO,金融選擇權,1064.8
2015/10/21,201510  ,XIO,非金電選擇權,10937
2015/10/21,201510  ,GTO,櫃買選擇權,123.7
2015/10/14,201510W2,TXO,臺指選擇權,8528
2015/10/07,201510W1,TXO,臺指選擇權,8481
2015/09/30,201509W5,TXO,臺指選擇權,8156
2015/09/23,201509W4,TXO,臺指選擇權,8199
2015/09/16,201509  ,TXO,臺指選擇權,8318
2015/09/16,201509  ,TEO,電子選擇權,321.45
2015/09/16,201509  ,TFO,金融選擇權,1054.8
2015/09/16,201509  ,XIO,非金電選擇權,10337
2015/09/16,201509  ,GTO,櫃買選擇權,117
2015/09/09,201509W2,TXO,臺指選擇權,8279
2015/09/02,201509W1,TXO,臺指選擇權,8056
2015/08/26,201508W4,TXO,臺指選擇權,7750
2015/08/19,201508  ,TXO,臺指選擇權,8002
2015/08/19,201508  ,TEO,電子選擇權,306.15
2015/08/19,201508  ,TFO,金融選擇權,1013.6
2015/08/19,201508  ,XIO,非金電選擇權,10104
2015/08/19,201508  ,GTO,櫃買選擇權,110.05
2015/08/12,201508W2,TXO,臺指選擇權,8278
2015/08/05,201508W1,TXO,臺指選擇權,8547
2015/07/29,201507W5,TXO,臺指選擇權,8563
2015/07/22,201507W4,TXO,臺指選擇權,8906
2015/07/15,201507  ,TXO,臺指選擇權,9029
2015/07/15,201507  ,TEO,電子選擇權,350.1
2015/07/15,201507  ,TFO,金融選擇權,1176.6
2015/07/15,201507  ,XIO,非金電選擇權,11027
2015/07/15,201507  ,GTO,櫃買選擇權,130.7
2015/07/08,201507W2,TXO,臺指選擇權,8994
2015/07/01,201507W1,TXO,臺指選擇權,9388
2015/06/24,201506W4,TXO,臺指選擇權,9380
2015/06/17,201506  ,TXO,臺指選擇權,9181
2015/06/17,201506  ,TEO,電子選擇權,360.25
2015/06/17,201506  ,TFO,金融選擇權,1185
2015/06/17,201506  ,XIO,非金電選擇權,11047
2015/06/17,201506  ,GTO,櫃買選擇權,135.25
2015/06/10,201506W2,TXO,臺指選擇權,9307
2015/06/03,201506W1,TXO,臺指選擇權,9561
2015/05/27,201505W4,TXO,臺指選擇權,9696
2015/05/20,201505  ,TXO,臺指選擇權,9668
2015/05/20,201505  ,TEO,電子選擇權,376.4
2015/05/20,201505  ,TFO,金融選擇權,1215.4
2015/05/20,201505  ,XIO,非金電選擇權,11922
2015/05/20,201505  ,GTO,櫃買選擇權,139.35
2015/05/13,201505W2,TXO,臺指選擇權,9736
2015/05/06,201505W1,TXO,臺指選擇權,9818
2015/04/29,201504W5,TXO,臺指選擇權,9868
2015/04/22,201504W4,TXO,臺指選擇權,9620
2015/04/15,201504  ,TXO,臺指選擇權,9520
2015/04/15,201504  ,TEO,電子選擇權,374
2015/04/15,201504  ,TFO,金融選擇權,1134.2
2015/04/15,201504  ,XIO,非金電選擇權,11842
2015/04/15,201504  ,GTO,櫃買選擇權,145.15
2015/04/08,201504W2,TXO,臺指選擇權,9584
2015/04/01,201504W1,TXO,臺指選擇權,9525
2015/03/25,201503W4,TXO,臺指選擇權,9669
2015/03/18,201503  ,TXO,臺指選擇權,9633
2015/03/18,201503  ,TEO,電子選擇權,387.2
2015/03/18,201503  ,TFO,金融選擇權,1118.2
2015/03/18,201503  ,XIO,非金電選擇權,11672
2015/03/18,201503  ,GTO,櫃買選擇權,145
2015/03/11,201503W2,TXO,臺指選擇權,9553
2015/03/04,201503W1,TXO,臺指選擇權,9619
2015/02/25,201502W4,TXO,臺指選擇權,9684
2015/02/24,201502  ,TXO,臺指選擇權,9623
2015/02/24,201502  ,TEO,電子選擇權,385.75
2015/02/24,201502  ,TFO,金融選擇權,1113.4
2015/02/24,201502  ,XIO,非金電選擇權,11727
2015/02/24,201502  ,GTO,櫃買選擇權,139.2
2015/02/11,201502W2,TXO,臺指選擇權,9462
2015/02/04,201502W1,TXO,臺指選擇權,9517
2015/01/28,201501W4,TXO,臺指選擇權,9499
2015/01/21,201501  ,TXO,臺指選擇權,9309
2015/01/21,201501  ,TEO,電子選擇權,372.15
2015/01/21,201501  ,TFO,金融選擇權,1065.6
2015/01/21,201501  ,XIO,非金電選擇權,11445
2015/01/21,201501  ,GTO,櫃買選擇權,138.2
2015/01/14,201501W2,TXO,臺指選擇權,9193
2015/01/07,201501W1,TXO,臺指選擇權,9096
